Name,Submission,Subscription,Papers 2,Papers 1,Satellite,Comment
Petri Nets World,petri-net-world@petrinet.net,Send an email to petri-net-world@petrinet.net.,Mod,Mod,Rej,Satellite call rejected. Used to be petrinet@informatik.uni-hamburg.de.
PLTC,prog-lang@diku.dk,Not sure.,Mod,Mod,Mod,"Not sure how to subscribe, or if that's even necessary."
Prog-lang,prog-lang@lists.cs.illinois.edu,https://lists.cs.illinois.edu/lists/subscribe/prog-lang,Mod,Sub,Mod,
Protégé,protege-announce@lists.stanford.edu,https://mailman.stanford.edu/mailman/listinfo/protege-announce,Sub,Sub,Sub,
TheoryNet Worldwide,theory-a@listserv.nodak.edu,https://listserv.nodak.edu/subscribe.html,Mod,Mod,Mod,
TheoryNet,theorynt@listserv.nodak.edu,https://listserv.nodak.edu/subscribe.html,Mod,Mod,Mod,
AILA,aila@unicam.it,https://www.ailalogica.it/organizzazione/soci/,Sub,Sub,Sub,Only for members.
ArtistDesign,announcements@lists.artist-embedded.org,"http://www.artist-embedded.org/artist/Artist-Mailing-List,995.html",,Rej,Sub,"Only for subscribers, which apparently did not work."
BETTY,bt-eu@dcs.gla.ac.uk,Not sure.,Sub,Sub,Sub,Seems to not be active anymore. Mailing list website seems to be down (http://mr1.dcs.gla.ac.uk/mailman/listinfo/bt-eu).
Cabernet Events,cabernet-events@jiscmail.ac.uk,https://www.jiscmail.ac.uk/cgi-bin/wa-jisc.exe?SUBED1=CABERNET-EVENTS&A=1,Sub,Sub,Sub,Got unsubscribed because of spam rejections.
CAML,caml-list@inria.fr,https://sympa.inria.fr/sympa/subscribe/caml-list,Sub,Sub,Sub,
Categories,categories@mq.edu.au,Email js.lemay@mq.edu.au or categories-admin@mq.edu.au with the word 'subscribe'.,Sub,Sub,Sub,Moved from categories@mta.ca.
CL Theory,cl-theory@lists.cam.ac.uk,https://lists.cam.ac.uk/sympa/subscribe/cl-theory,Sub,Sub,Sub,
Description Logics,dl@dl.kr.org,https://mailman.zih.tu-dresden.de/groups/listinfo/dl,Mod,Mod,Mod,
CI,ifi-ci-event@lists.tu-clausthal.de,https://lists.tu-clausthal.de/cgi-bin/mailman/listinfo/ifi-ci-event,Mod,Mod,Mod,
NASA,fm-announcements@lists.nasa.gov,"Email fm-announcements-request@lists.nasa.gov with ""subscribe"" in body or subject.",Sub,Sub,Sub,
FM India,fmindia@cmi.ac.in,Not sure.,Sub,Sub,Sub,Mailman site not working.
GPCE related,gpce-related@cs.rice.edu,https://mailman.rice.edu/mailman/listinfo/gpce-related-l,Sub,Sub,,
IC EATCS,ic.eatcs@di.unipi.it,Not necessary.,Sub,Sub,Mod,Submit through angelo.montanari@uniud.it or ugo.dallago@unibo.it.
LICS,las-lics@lists.tu-berlin.de,https://lists.tu-berlin.de/mailman/listinfo/las-lics,Sub,Post,Post,Will be sent in a monthly digest.
LFCS,lfcs-interest@dcs.ed.ac.uk,https://www.dcs.ed.ac.uk/home/dt/semclub/join.html,Sub,Sub,Sub,May not be active anymore.
Logic Helsinki,logic-list@helsinki.fi,https://helpdesk.it.helsinki.fi/en/instructions/collaboration-and-publication/e-mail/majordomo-mailing-lists-basic-use#subscribing-to-and-unsubscribing-from-majordomo-lists,Sub,Sub,Sub,
Logic,logic.list@outlook.com,https://lists.uni-hamburg.de/mailman/listinfo/math.logic,Sub,Post,Sub,
Logic,logic@math.uni-bonn.de,https://listen.uni-bonn.de/wws/subscribe/logic,Sub,Sub,Sub,
Microservices,microservices-community@googlegroups.com,https://groups.google.com/g/microservices-community,Sub,Sub,Sub,
PPoPP,PPOPP@listserv.acm.org,https://ppopp25.sigplan.org/info/mailing-list,Mod,Mod,Mod,
PVS,pvs@csl.sri.com,Send an email to pvs-subscribe@csl.sri.com.,Rej,Mod,Sub,Abuse prevention tool rejected the posting.
SAL,sal@csl.sri.com,https://sal.csl.sri.com/mailing_lists.html,Sub,Mod,Rej,Abuse prevention tool rejected the posting.
Theorem Provers,theorem-provers@ai.mit.edu,https://www.cs.cmu.edu/Groups/AI/html/faqs/ai/old_ai_general/part2/faq-doc-41.html,Sub,Sub,Sub,
Coq,coq-club@inria.fr,https://sympa.inria.fr/sympa/subscribe/coq-club,Sub,Sub,Sub,
FMxSOCandBPM,FMxSOCandBPM@cs.unibo.it,https://lists.cs.unibo.it/mailman3/postorius/lists/fmxsocandbpm.lists.cs.unibo.it/,Sub,Sub,Sub,
IFMSIG,ifmsig@cs.tcd.ie,Contact ifmsig-request@cs.tcd.ie.,Sub,Sub,Sub,
RV,rv@cs.uiuc.edu,https://lists.cs.illinois.edu/lists/subscribe/rv,Sub,Sub,Sub,
Logic,logic@cs.stanford.edu,Not sure.,Sub,Sub,Sub,Can't find any information.
CAIC,caic1402arvi@isp.uni-luebeck.de,Not sure.,Sub,Sub,Sub,Can't find any info.
COMPULOG,complog@cs.nmsu.edu,Not sure.,Sub,Sub,Sub,Can't find any info.
Dependability,fttc@dependability.org,Not sure.,Sub,Sub,Sub,Can't find the list.
TYPES,types-announce@lists.seas.upenn.edu,https://lists.seas.upenn.edu/mailman/listinfo/types-announce,Sub,Sub,Sub,Address must be included in To: or CC:.
Software agents,agents@cs.umbc.edu,https://lists.cs.umbc.edu/mailman/listinfo/agents/,Sub,Sub,Mod,
AppSem,appsem@lists.tcs.ifi.lmu.de,Not sure.,Sub,Sub,Sub,
SENSORIA project,sensoria@lists.tcs.ifi.lmu.de,Not sure.,Sub,Sub,Sub,
SYNALP,synalp@inrialpes.fr,https://www.inrialpes.fr/synalp/Mailing/,Sub,Sub,Sub,
EU Types,eutypes@cs.ru.nl,https://mailman.science.ru.nl/mailman/listinfo/eutypes,Sub,Sub,Sub,"Only post directly, without other recipients and BCC. Only <= 40kB."
Reflective Middelware,reflective-middleware@cs.uiuc.edu,https://lists.cs.illinois.edu/lists/subscribe/reflective-middleware,Sub,Sub,Sub,<=40kB.
AISWorld,aisworld@isworld.org,https://isworld.org/mailman/listinfo/aisworld_isworld.org,Post,Post,Sub,Removed after bounces. Moved from aisworld@lists.aisnet.org.
SEWORLD,seworld@sigsoft.org,https://www.sigsoft.org/resources/seworld.html,,Rej,Sub,Focus on SE research only.
HPC,hpc-announce@mcs.anl.gov,https://lists.mcs.anl.gov/mailman/listinfo/hpc-announce,,Rej,Rej,"First rejected by rule filter, then got blocked."
GPCE,gpce-news@cs.rice.edu,https://mailman.rice.edu/mailman/listinfo/gpce-news-l,,,Rej,Need to use gpce-related.
RevComp,revcomp-list@jiscmail.ac.uk,Not sure.,,,Rej,Can't find where to subscribe. Rejected because not subscribed/authorized.
D-CON,d-con@lists.rwth-aachen.de,Not sure.,,,,Inactive.
GRIN,grin-eventi-owner@grin-informatica.it,Not sure.,,,,Doesn't seem to be an open mailing list.
Theory Logic,theory-logic@cs.cmu.edu,Not sure.,,,,Doesn't seem to function anymore.
ECOOP,ecoop-info@ecoop.org,Not sure.,,,,"Standard mailing list doesn't exist anymore. There should be a Google Group, but I can't find it."
IFIP,ifip@ifip.or.at,Not sure.,,,,Doesn't seem to exist.
QEST,qest-announce@iti.uiuc.edu,Not sure.,,,,Mailing list offline.
Announcements,announcements@univ-grenoble-alpes.fr,Not sure.,,,,Doesn't seem to exist.
SBC,sbc-l@sbc.org.br,https://grupos.ufrgs.br/mailman/listinfo/sbc-l,,,,Doesn't work.
PAPM,papm@informatics.ed.ac.uk,Don't.,,,,Not suppose to use from outside.
Planet MDE,planetmde@univ-grenoble-alpes.fr,Don't.,,,,Too specific.
OWL Dev,public-owl-dev@w3.org,Don't.,,,,Inappropriate.
TCCC,tccc-announce@computer.org,https://cs-tccc.org/membership/,,,Rej,Only TCCC conferences.
My Colleagues,mycolleagues@mailman.ufsc.br,https://mailman.ufsc.br/mailman/listinfo/mycolleagues,,,Rej,Not allowed to post.
IPA,ipalist@listserver.tue.nl,Not necessary.,,,Rej,Only for Dutch events.
